"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060538","skeletal muscle organ development","46/2160","192/18986",0.239583333333333,2.10589313271605,5.51818045128933,6.43139054288381e-07,0.00383825387599306,0.00359480881923295,"467/10409/283149/1291/1605/1674/28514/1958/2006/2010/10211/668/2817/2876/26508/3131/3142/10362/3292/3481/93185/84148/56203/23764/196541/79784/140465/3164/26471/22953/5307/5339/6261/642658/6469/6474/6497/6664/30812/26576/64220/6840/6901/6943/7040/10869",46
"GO:0007517","muscle organ development","73/2160","369/18986",0.197831978319783,1.73890645387935,5.13558033958828,1.51880279101279e-06,0.00453210752838217,0.00424465411593575,"467/10409/283149/650/652/8912/1291/1489/1605/1674/28514/30008/1958/1960/163126/2006/2010/2275/10211/221937/668/4303/2817/2876/145258/1839/84717/26508/3131/3142/10362/3292/3399/3481/93185/3679/84148/3911/4000/56203/23764/6300/196541/4487/79784/140465/3164/26471/22953/5307/5339/78994/6261/642658/6442/6469/6474/6497/4092/6525/6664/30812/10290/26576/64220/6840/6901/6943/7040/55898/10869/463/161882",73
"GO:0007519","skeletal muscle tissue development","42/2160","178/18986",0.235955056179775,2.07400124843945,5.15804602864975,2.95228049124028e-06,0.00479427066121888,0.00449018929220267,"467/283149/1291/28514/1958/2006/2010/10211/668/2817/2876/26508/3131/3142/10362/3292/3481/93185/84148/56203/23764/196541/79784/140465/3164/26471/22953/5307/5339/6261/642658/6469/6474/6497/6664/30812/26576/6840/6901/6943/7040/10869",42
"GO:0031346","positive regulation of cell projection organization","71/2160","363/18986",0.195592286501377,1.71921997755331,4.95714893282415,3.21331813754617e-06,0.00479427066121888,0.00449018929220267,"375790/29882/160/322/348/466/10458/8536/11135/10435/23580/148170/1002/23242/57175/23603/9696/6376/153090/1627/780/4921/54849/1742/1855/1856/1857/10938/54869/64787/2242/6624/80199/2664/221914/2896/3265/57611/3675/2648/79734/3897/3984/9863/5605/4135/1954/55329/9423/23363/5064/55558/23654/5365/221908/5526/150696/9727/56963/8153/6239/8578/8175/6474/6722/6794/10494/57465/7043/11344/7422",71
"GO:0043254","regulation of protein-containing complex assembly","81/2160","433/18986",0.187066974595843,1.64428406466513,4.85910182262657,4.12399711126795e-06,0.00492240295200942,0.00461019466543849,"21/81926/84962/79998/348/402/10458/581/27113/274/84446/11135/10435/23580/148170/1366/25999/1191/57482/153090/1639/2006/2242/2314/6624/2670/28964/23354/55559/3054/3280/3273/3297/3303/3304/25959/256949/56203/225689/22924/81857/205251/91663/56926/29997/7376/4926/5830/9780/5296/65018/64857/5526/10113/112476/5781/29108/54922/389/23176/50964/6709/6711/57731/51332/54961/3925/6840/7040/7067/11076/51673/7186/26146/81559/201292/11078/11344/8408/7422/84885",81
"GO:0042692","muscle cell differentiation","80/2160","432/18986",0.185185185185185,1.62774348422497,4.72875751918551,6.97910525743576e-06,0.00694188336272944,0.00650158752929542,"81/207/57538/274/650/652/8912/8536/1025/1048/1291/9150/28514/1760/9149/30008/10938/30846/2314/2318/10211/4303/8324/2539/2626/2852/2876/10014/84717/3280/3481/3488/79191/2648/23135/3913/85474/4000/56203/284358/6300/4487/205251/4629/4627/10398/91807/84665/4773/4776/4855/84033/23363/93145/22953/5155/9780/23646/5339/84814/5725/5914/6261/54910/6469/6474/6497/6548/6604/10290/6722/6830/6909/7040/7138/7140/7422/117166/6935/10467",80
"GO:0006368","transcription elongation by RNA polymerase II","30/2160","118/18986",0.254237288135593,2.23469868173258,4.82037458877382,1.60013031906978e-05,0.0136422539202978,0.0127769804424971,"11047/8312/23476/1025/9150/80237/51224/6923/2962/10614/26173/54973/65123/80789/10025/6837/81857/55588/7469/25920/51497/7936/54623/170394/165918/6469/6829/6830/6919/6920",30
"GO:1902894","negative regulation of miRNA transcription","12/2160","28/18986",0.428571428571429,3.76706349206349,5.24981034880199,2.40395957304429e-05,0.0163976998736604,0.0153576595049275,"652/9612/4776/5155/5460/5467/5914/5970/6722/7040/7422/57473",12
"GO:1902893","regulation of miRNA transcription","22/2160","76/18986",0.289473684210526,2.54442007797271,4.83357213972752,2.47284347960697e-05,0.0163976998736604,0.0153576595049275,"84913/650/652/1958/3169/3725/9612/4776/4804/4854/7376/5155/5460/5467/5914/5970/4091/6597/6722/7040/7422/57473",22
"GO:0061614","miRNA transcription","22/2160","77/18986",0.285714285714286,2.51137566137566,4.7612966402577,3.09371823929067e-05,0.017126419291183,0.0160401591710494,"84913/650/652/1958/3169/3725/9612/4776/4804/4854/7376/5155/5460/5467/5914/5970/4091/6597/6722/7040/7422/57473",22
"GO:0006354","DNA-templated transcription elongation","32/2160","134/18986",0.238805970149254,2.09906025428413,4.57442930537981,3.31381610935473e-05,0.017126419291183,0.0160401591710494,"11047/8312/23476/1025/9150/80237/51224/6923/2962/10614/26173/54973/65123/80789/10025/6837/81857/55588/7469/25920/51497/7936/54623/5434/170394/165918/6469/6829/6830/6919/6920/23211",32
"GO:0048568","embryonic organ development","81/2160","458/18986",0.176855895196507,1.55453056768559,4.3041331010688,3.44364999152473e-05,0.017126419291183,0.0160401591710494,"207/170961/129880/652/23242/80781/85301/28514/1750/1855/1856/29924/2067/2323/28982/2290/668/80199/2626/8521/145258/3280/3142/3204/3216/3221/3225/9394/3373/3399/9742/3481/10265/3726/5595/53615/1954/4487/51168/10763/9423/5089/7703/5125/5154/5155/5310/113026/5456/10848/221908/5914/5916/7732/23513/6343/6469/6474/10736/6496/27173/55084/6664/54345/6722/64220/25949/6913/6909/6943/8463/7040/7043/286262/10155/11078/22846/7422/6293/6935/161882",81
"GO:0032784","regulation of DNA-templated transcription elongation","26/2160","100/18986",0.26,2.28535185185185,4.61736034649601,3.79181909219254e-05,0.0174073664170808,0.0163032869469979,"8312/23476/1025/80237/51224/2962/10614/26173/54973/65123/80789/10025/6837/81857/55588/7469/25920/51497/7936/170394/165918/6469/6829/6830/6919/23211",26
"GO:0061448","connective tissue development","56/2160","290/18986",0.193103448275862,1.697343550447,4.28758923506001,4.8968641315609e-05,0.0179043359041319,0.016768735651711,"116236/11173/10865/582/633/650/652/353500/846/875/150356/1302/85301/1289/1291/1396/1435/65992/9149/1958/2355/3169/8091/3221/3265/3292/3373/2648/4041/4054/5595/4146/4487/4773/5155/5307/5310/5467/5781/5914/5916/359845/864/642658/140606/6474/10736/91252/4092/30812/6722/7040/7067/54795/6935/51222",56
"GO:1902903","regulation of supramolecular fiber organization","72/2160","400/18986",0.18,1.58216666666667,4.21624751795736,5.15808491026988e-05,0.0179043359041319,0.016768735651711,"79998/10297/348/22899/402/10458/274/89927/90668/11135/10435/23580/148170/84952/150356/25999/1191/1291/57175/57482/6376/1613/1639/30008/2006/11117/2242/2314/10634/28964/2876/23354/55559/3303/3304/3339/25959/256949/3984/56203/4130/55201/22924/4281/58526/91663/91807/4926/5202/9463/5296/64857/29108/10411/389/114822/6050/85358/6548/10174/6709/6711/57731/51332/54961/3925/6840/11346/7043/7148/11078/11344",72
"GO:2000629","negative regulation of miRNA metabolic process","12/2160","30/18986",0.4,3.51592592592593,4.94113661677997,5.49639583981852e-05,0.0179043359041319,0.016768735651711,"652/9612/4776/5155/5460/5467/5914/5970/6722/7040/7422/57473",12
